mes-anio;Sum_uxt_motivos_1;Sum_uxt_motivos_2;Sum_uxt_motivos_3;Sum_uxt_motivos_4;#uxt_motivos_1;#uxt_motivos_2;#uxt_motivos_3;#uxt_motivos_4
2020-10-01;0.0;0.0;43226.0;237.0;0;0;38;3
2020-11-01;0.0;1472.0;40234.0;109.0;0;1;22;1
2020-12-01;0.0;0.0;17955.0;3281.0;0;0;13;5
2021-01-01;0.0;0.0;10471.0;99.0;0;0;8;1
2021-02-01;0.0;0.0;35228.0;0.0;0;0;24;0
2021-03-01;0.0;0.0;51351.0;392.0;0;0;30;2
2021-04-01;0.0;316.0;20722.0;3934.0;0;1;20;8
2021-05-01;0.0;115.0;26320.0;254.0;0;2;24;2
2021-06-01;0.0;0.0;29104.0;0.0;0;0;30;0
2021-07-01;0.0;0.0;19660.0;2813.0;0;0;19;7
2021-08-01;0.0;0.0;12398.0;1277.0;0;0;18;9
2021-09-01;0.0;16316.0;30055.0;2985.0;0;8;31;6
2021-10-01;0.0;456.0;47973.0;137.0;0;1;35;4
2021-11-01;0.0;0.0;51359.0;1232.0;0;0;32;2
2021-12-01;0.0;1312.0;16430.0;192.0;0;2;20;4
2022-01-01;0.0;1320.0;7353.0;86.0;0;2;7;3
2022-02-01;0.0;6834.0;23438.0;106.0;0;4;31;2
2022-03-01;0.0;6625.0;33191.0;2094.0;0;4;31;3
2022-04-01;0.0;0.0;29484.0;6392.0;0;0;23;4
2022-05-01;0.0;0.0;67252.0;240.0;0;0;39;2
2022-06-01;0.0;607.0;36566.0;384.0;0;2;31;1
2022-07-01;0.0;3322.0;29325.0;97.0;0;1;15;1
2022-08-01;0.0;0.0;33304.0;92.0;0;0;27;2
2022-09-01;0.0;52.0;53095.0;98.0;0;2;36;1
2022-10-01;0.0;7249.0;36745.0;654.0;0;1;18;3
2022-11-01;0.0;0.0;16068.0;714.0;0;0;12;3
2022-12-01;0.0;2567.0;1489.0;669.0;0;1;2;6
2023-01-01;0.0;0.0;9912.0;1543.0;0;0;19;6
2023-02-01;0.0;6978.0;18064.0;773.0;0;4;14;3
2023-03-01;5856.0;0.0;56818.0;56706.0;22;0;24;27
2023-04-01;0.0;12869.0;45802.0;162.0;0;5;25;3
2023-05-01;0.0;0.0;23586.0;7956.0;0;0;20;4
2023-06-01;209.0;406.0;19507.0;7575.0;3;2;18;5
2023-07-01;0.0;6449.0;14217.0;532.0;0;3;18;4
2023-08-01;0.0;15312.0;36429.0;1207.0;0;5;31;7
2023-09-01;0.0;221.0;38826.0;461.0;0;2;29;3
2023-10-01;0.0;0.0;35608.0;4612.0;0;0;36;2
2023-11-01;0.0;0.0;32888.0;523.0;0;0;22;3
2023-12-01;0.0;0.0;12735.0;20481.0;0;0;18;17
2024-01-01;0.0;0.0;7689.0;8744.0;0;0;12;4
2024-02-01;0.0;13289.0;11269.0;1779.0;0;8;8;4
2024-03-01;0.0;0.0;37340.0;1262.0;0;0;25;7
2024-04-01;0.0;0.0;47555.0;188.0;0;0;27;1
2024-05-01;0.0;0.0;16211.0;463.0;0;0;25;4
